idx,clean_pred,true_label,new_pred,outcome,best_upper_margin,elapsed_s,pixels_changed,total_bit_flips,avg_hamming_per_pixel,patch_rows,patch_cols,note
0,7,7,,No counterexample,112.000000,4266.481,0,0,0.000000,9-22,9-10,no_counterexample_within_budgets
1,2,2,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1639.304,1,4,4.000000,0-20,0-12,witness_found_greedy_byte
2,1,1,,No counterexample,20.875000,4699.249,0,0,0.000000,4-14,18-19,no_counterexample_within_budgets
3,0,0,,No counterexample,64.000000,10008.418,0,0,0.000000,20-20,8-9,no_counterexample_within_budgets
4,4,4,,No counterexample,110.250000,8290.858,0,0,0.000000,14-16,7-10,no_counterexample_within_budgets
5,1,1,,No counterexample,21.000000,3012.365,0,0,0.000000,6-10,19-20,no_counterexample_within_budgets
6,4,4,,No counterexample,2.000000,1823.475,0,0,0.000000,2-9,20-20,no_counterexample_within_budgets
7,9,9,,No counterexample,86.000000,13408.866,0,0,0.000000,4-4,22-23,no_counterexample_within_budgets
8,5,5,,No counterexample,128.000000,16027.601,0,0,0.000000,8-10,7-14,no_counterexample_within_budgets
9,9,9,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1636.179,1,4,4.000000,10-11,18-21,witness_found_greedy_byte
10,0,0,,No counterexample,80.000000,16362.298,0,0,0.000000,0-0,22-23,no_counterexample_within_budgets
11,6,6,,No counterexample,62.000000,2343.178,0,0,0.000000,10-11,12-12,no_counterexample_within_budgets
12,9,9,,No counterexample,116.000000,2525.119,0,0,0.000000,9-15,8-12,no_counterexample_within_budgets
13,0,0,,No counterexample,64.000000,10434.171,0,0,0.000000,8-9,18-19,no_counterexample_within_budgets
14,1,1,,No counterexample,11.500000,10643.851,0,0,0.000000,16-16,11-12,no_counterexample_within_budgets
15,5,5,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1140.069,1,4,4.000000,12-14,16-16,witness_found_greedy_byte
16,9,9,,No counterexample,62.000000,15686.962,0,0,0.000000,4-6,8-10,no_counterexample_within_budgets
17,7,7,,No counterexample,40.000000,1797.487,0,0,0.000000,12-19,15-18,no_counterexample_within_budgets
18,2,3,,Counterexample,64.000000,2556.443,2,4,2.000000,5-5,4-8,witness_found_bab
19,4,4,,No counterexample,19.500000,13034.512,0,0,0.000000,2-2,14-15,no_counterexample_within_budgets
20,9,9,,No counterexample,56.000000,15744.071,0,0,0.000000,7-16,10-12,no_counterexample_within_budgets
21,6,6,,No counterexample,86.000000,16550.441,0,0,0.000000,5-8,10-11,no_counterexample_within_budgets
22,6,6,,Counterexample,12.000000,2662.160,2,4,2.000000,10-16,3-9,witness_found_bab
23,5,5,,No counterexample,-2.000000,1660.506,0,0,0.000000,5-6,17-21,no_counterexample_within_budgets
24,4,4,,No counterexample,22.375000,5317.746,0,0,0.000000,4-17,7-24,no_counterexample_within_budgets
25,0,0,,No counterexample,56.000000,17369.449,0,0,0.000000,5-5,14-18,no_counterexample_within_budgets
26,7,7,,No counterexample,0.000000,1189.724,0,0,0.000000,3-3,4-10,no_counterexample_within_budgets
27,4,4,,No counterexample,15.000000,2626.512,0,0,0.000000,8-15,12-19,no_counterexample_within_budgets
28,0,0,,No counterexample,32.000000,5089.993,0,0,0.000000,6-22,10-11,no_counterexample_within_budgets
29,1,1,,No counterexample,5.750000,7600.944,0,0,0.000000,5-6,20-20,no_counterexample_within_budgets
30,3,3,,No counterexample,-4.000000,1534.125,0,0,0.000000,11-12,10-12,no_counterexample_within_budgets
31,1,1,,No counterexample,6.812500,3676.093,0,0,0.000000,9-11,12-13,no_counterexample_within_budgets
32,3,3,,No counterexample,-8.000000,1693.212,0,0,0.000000,0-14,0-16,no_counterexample_within_budgets
33,4,4,,No counterexample,128.000000,14403.685,0,0,0.000000,6-7,20-21,no_counterexample_within_budgets
34,7,7,,No counterexample,6.000000,1527.031,0,0,0.000000,14-16,10-12,no_counterexample_within_budgets
35,2,2,,No counterexample,80.000000,16588.454,0,0,0.000000,4-16,11-19,no_counterexample_within_budgets
36,7,7,,No counterexample,8.000000,1730.425,0,0,0.000000,7-10,5-5,no_counterexample_within_budgets
37,1,1,,No counterexample,2.312500,2762.381,0,0,0.000000,12-13,11-11,no_counterexample_within_budgets
38,2,2,,No counterexample,24.000000,16758.547,0,0,0.000000,8-8,7-18,no_counterexample_within_budgets
39,1,1,,No counterexample,24.500000,5933.872,0,0,0.000000,9-9,16-18,no_counterexample_within_budgets
40,1,1,,No counterexample,5.000000,7927.701,0,0,0.000000,10-14,12-17,no_counterexample_within_budgets
41,7,7,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1562.790,1,3,3.000000,5-7,9-13,witness_found_greedy_byte
42,4,4,,No counterexample,96.000000,14420.027,0,0,0.000000,14-17,8-9,no_counterexample_within_budgets
43,2,2,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1491.538,1,4,4.000000,5-5,15-21,witness_found_greedy_byte
44,3,3,,No counterexample,26.000000,15125.029,0,0,0.000000,8-8,11-12,no_counterexample_within_budgets
45,5,5,,No counterexample,120.000000,2818.739,0,0,0.000000,0-0,4-5,no_counterexample_within_budgets
46,1,1,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1479.903,1,4,4.000000,9-19,13-17,witness_found_greedy_byte
47,2,2,,No counterexample,32.000000,6863.355,0,0,0.000000,7-8,15-16,no_counterexample_within_budgets
48,4,4,,No counterexample,120.000000,6705.912,0,0,0.000000,7-17,6-16,no_counterexample_within_budgets
49,4,4,,No counterexample,29.500000,12584.925,0,0,0.000000,8-9,17-18,no_counterexample_within_budgets
50,6,6,,No counterexample,24.000000,7341.565,0,0,0.000000,4-4,12-13,no_counterexample_within_budgets
51,3,3,,No counterexample,56.000000,16901.274,0,0,0.000000,0-2,2-14,no_counterexample_within_budgets
52,5,5,,No counterexample,72.000000,12459.554,0,0,0.000000,14-15,7-10,no_counterexample_within_budgets
53,5,5,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1513.469,1,2,2.000000,7-8,14-17,witness_found_greedy_byte
54,6,6,,No counterexample,4.000000,1561.683,0,0,0.000000,9-9,8-13,no_counterexample_within_budgets
55,0,0,,No counterexample,8.000000,2105.461,0,0,0.000000,6-7,10-16,no_counterexample_within_budgets
56,4,4,,No counterexample,-1.125000,1533.702,0,0,0.000000,10-11,19-20,no_counterexample_within_budgets
57,1,1,,No counterexample,8.187500,6438.391,0,0,0.000000,9-10,15-15,no_counterexample_within_budgets
58,9,9,,No counterexample,48.000000,16941.170,0,0,0.000000,8-8,5-6,no_counterexample_within_budgets
59,5,5,,No counterexample,8.000000,1895.736,0,0,0.000000,7-8,15-20,no_counterexample_within_budgets
60,3,7,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1454.833,1,3,3.000000,0-0,2-3,witness_found_greedy_byte
61,8,8,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1681.197,1,3,3.000000,2-5,15-17,witness_found_greedy_byte
62,9,9,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1629.177,1,4,4.000000,15-16,10-12,witness_found_greedy_byte
63,3,3,,No counterexample,88.000000,18863.716,0,0,0.000000,8-9,8-14,no_counterexample_within_budgets
64,7,7,,No counterexample,56.000000,15704.816,0,0,0.000000,8-10,5-6,no_counterexample_within_budgets
65,4,4,,No counterexample,26.000000,18332.117,0,0,0.000000,8-8,2-3,no_counterexample_within_budgets
66,6,6,,No counterexample,26.500000,6004.725,0,0,0.000000,7-8,16-16,no_counterexample_within_budgets
67,4,4,,No counterexample,26.000000,13445.103,0,0,0.000000,7-7,14-15,no_counterexample_within_budgets
68,3,3,,No counterexample,0.000000,1603.985,0,0,0.000000,5-6,8-12,no_counterexample_within_budgets
69,0,0,,No counterexample,48.000000,4311.340,0,0,0.000000,2-3,10-12,no_counterexample_within_budgets
70,7,7,,No counterexample,72.000000,5972.597,0,0,0.000000,0-1,10-12,no_counterexample_within_budgets
71,0,0,,No counterexample,80.000000,15322.528,0,0,0.000000,8-11,14-16,no_counterexample_within_budgets
72,2,2,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1111.393,1,1,1.000000,22-22,9-10,witness_found_greedy_bit
73,9,9,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1612.410,1,4,4.000000,11-12,12-13,witness_found_greedy_byte
74,1,1,,No counterexample,5.250000,3195.527,0,0,0.000000,17-18,10-13,no_counterexample_within_budgets
75,7,7,,No counterexample,80.000000,16188.288,0,0,0.000000,5-5,8-9,no_counterexample_within_budgets
76,3,3,,No counterexample,128.000000,5313.871,0,0,0.000000,9-12,13-15,no_counterexample_within_budgets
77,2,2,,No counterexample,24.000000,10822.863,0,0,0.000000,6-7,8-8,no_counterexample_within_budgets
78,9,9,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,1653.634,1,4,4.000000,7-9,10-17,witness_found_greedy_byte
79,7,7,,No counterexample,88.000000,12834.105,0,0,0.000000,2-3,14-15,no_counterexample_within_budgets
80,7,7,,No counterexample,64.000000,6106.959,0,0,0.000000,0-0,8-9,no_counterexample_within_budgets
81,6,6,,No counterexample,114.000000,4727.346,0,0,0.000000,7-10,16-19,no_counterexample_within_budgets
82,2,2,,No counterexample,128.000000,7800.941,0,0,0.000000,5-15,8-11,no_counterexample_within_budgets
83,7,7,,No counterexample,18.000000,8484.544,0,0,0.000000,2-9,8-20,no_counterexample_within_budgets
