idx,clean_pred,true_label,new_pred,outcome,best_upper_margin,elapsed_s,pixels_changed,total_bit_flips,avg_hamming_per_pixel,patch_rows,patch_cols,note
0,7,7,,No counterexample,-8.000000,36.749,0,0,0.000000,18-18,4-5,no_counterexample_within_budgets
1,2,2,,No counterexample,-8.000000,32.228,0,0,0.000000,0-0,0-1,no_counterexample_within_budgets
2,1,1,,No counterexample,-5.875000,45.648,0,0,0.000000,14-14,2-3,no_counterexample_within_budgets
3,0,0,,No counterexample,14.000000,4055.820,0,0,0.000000,12-12,4-5,no_counterexample_within_budgets
4,4,4,,No counterexample,-0.500000,38.463,0,0,0.000000,6-6,17-18,no_counterexample_within_budgets
5,1,1,,No counterexample,-5.375000,42.299,0,0,0.000000,14-14,2-3,no_counterexample_within_budgets
6,4,4,,No counterexample,-8.000000,35.535,0,0,0.000000,10-11,19-19,no_counterexample_within_budgets
7,9,9,,No counterexample,86.000000,11698.295,0,0,0.000000,4-4,22-23,no_counterexample_within_budgets
8,5,5,,No counterexample,0.000000,30.947,0,0,0.000000,0-0,0-1,no_counterexample_within_budgets
9,9,9,,No counterexample,96.000000,10619.978,0,0,0.000000,8-9,19-20,no_counterexample_within_budgets
10,0,0,,No counterexample,-16.000000,31.271,0,0,0.000000,0-0,0-1,no_counterexample_within_budgets
11,6,6,,No counterexample,10.000000,3375.590,0,0,0.000000,5-5,16-17,no_counterexample_within_budgets
12,9,9,,No counterexample,84.000000,2184.217,0,0,0.000000,17-17,11-12,no_counterexample_within_budgets
13,0,0,,No counterexample,-4.000000,35.303,0,0,0.000000,14-14,2-3,no_counterexample_within_budgets
14,1,1,,No counterexample,11.500000,9664.847,0,0,0.000000,16-16,11-12,no_counterexample_within_budgets
15,5,5,,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,24.264,1,4,4.000000,2-2,12-13,witness_found_greedy_byte
16,9,9,,No counterexample,-6.000000,32.008,0,0,0.000000,12-13,20-21,no_counterexample_within_budgets
17,7,7,,No counterexample,56.000000,3556.036,0,0,0.000000,0-0,10-11,no_counterexample_within_budgets
