idx,clean_pred,true_label,new_pred,outcome,best_upper_margin,elapsed_s,pixels_changed,total_bit_flips,avg_hamming_per_pixel,patch_rows,patch_cols,note
0,7,7,,No counterexample,-0.453125,36.995,0,0,0.000000,8-10,24-24,no_counterexample_within_budgets
1,2,2,,No counterexample,17.625000,349.151,0,0,0.000000,12-12,6-7,no_counterexample_within_budgets
2,1,1,,No counterexample,-1.421875,37.656,0,0,0.000000,12-16,15-17,no_counterexample_within_budgets
3,0,0,,No counterexample,-1.640625,38.629,0,0,0.000000,18-24,7-8,no_counterexample_within_budgets
4,4,4,,No counterexample,13.000000,425.377,0,0,0.000000,11-16,14-17,no_counterexample_within_budgets
5,1,1,,No counterexample,21.250000,55.464,0,0,0.000000,11-13,10-14,no_counterexample_within_budgets
6,4,4,,No counterexample,42.000000,44.529,0,0,0.000000,4-9,12-23,no_counterexample_within_budgets
7,9,9,,No counterexample,-0.140625,38.932,0,0,0.000000,10-13,6-14,no_counterexample_within_budgets
8,6,5,,No counterexample,13.500000,354.184,0,0,0.000000,6-6,22-24,no_counterexample_within_budgets
9,9,9,,No counterexample,0.500000,41.269,0,0,0.000000,8-9,14-15,no_counterexample_within_budgets
10,0,0,,No counterexample,15.875000,370.889,0,0,0.000000,12-15,21-23,no_counterexample_within_budgets
11,6,6,,No counterexample,5.687500,428.315,0,0,0.000000,10-18,10-24,no_counterexample_within_budgets
12,9,9,,No counterexample,5.062500,160.547,0,0,0.000000,3-3,14-15,no_counterexample_within_budgets
13,0,0,,No counterexample,0.375000,42.235,0,0,0.000000,12-17,13-15,no_counterexample_within_budgets
14,1,1,,No counterexample,-2.875000,36.653,0,0,0.000000,13-13,5-7,no_counterexample_within_budgets
15,5,5,,No counterexample,15.656250,557.179,0,0,0.000000,17-19,10-23,no_counterexample_within_budgets
16,9,9,,No counterexample,2.750000,137.838,0,0,0.000000,4-10,12-23,no_counterexample_within_budgets
17,7,7,,No counterexample,-0.109375,30.346,0,0,0.000000,9-10,23-24,no_counterexample_within_budgets
18,2,3,,No counterexample,6.437500,434.325,0,0,0.000000,13-13,5-7,no_counterexample_within_budgets
19,4,4,,No counterexample,20.750000,319.616,0,0,0.000000,4-21,7-12,no_counterexample_within_budgets
20,9,9,,No counterexample,12.500000,357.126,0,0,0.000000,12-17,9-22,no_counterexample_within_budgets
21,6,6,,No counterexample,-0.250000,39.226,0,0,0.000000,1-11,0-8,no_counterexample_within_budgets
22,6,6,,No counterexample,6.375000,144.068,0,0,0.000000,11-15,10-14,no_counterexample_within_budgets
23,5,5,,No counterexample,0.000000,38.845,0,0,0.000000,12-17,13-22,no_counterexample_within_budgets
24,4,4,,No counterexample,32.625000,368.670,0,0,0.000000,9-10,14-14,no_counterexample_within_budgets
25,0,0,,No counterexample,4.000000,40.982,0,0,0.000000,11-13,13-16,no_counterexample_within_budgets
26,7,7,,No counterexample,0.625000,50.296,0,0,0.000000,9-10,23-24,no_counterexample_within_budgets
27,4,4,,No counterexample,0.000000,28.208,0,0,0.000000,9-10,7-8,no_counterexample_within_budgets
28,0,0,,No counterexample,5.750000,119.324,0,0,0.000000,11-17,13-15,no_counterexample_within_budgets
29,1,1,,No counterexample,30.015625,359.956,0,0,0.000000,11-12,14-14,no_counterexample_within_budgets
30,3,3,,No counterexample,6.203125,67.870,0,0,0.000000,12-13,22-22,no_counterexample_within_budgets
31,1,1,,No counterexample,30.937500,420.788,0,0,0.000000,11-12,21-22,no_counterexample_within_budgets
32,3,3,,No counterexample,2.703125,330.715,0,0,0.000000,13-20,12-23,no_counterexample_within_budgets
33,6,4,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,38.481,1,4,4.000000,9-12,15-24,witness_found_greedy_byte
34,7,7,,No counterexample,14.453125,303.579,0,0,0.000000,4-20,14-18,no_counterexample_within_budgets
35,2,2,,No counterexample,19.250000,246.357,0,0,0.000000,8-11,14-24,no_counterexample_within_budgets
36,7,7,,No counterexample,12.359375,363.492,0,0,0.000000,11-12,14-14,no_counterexample_within_budgets
37,1,1,,No counterexample,-0.937500,37.971,0,0,0.000000,6-8,23-24,no_counterexample_within_budgets
38,2,2,,No counterexample,8.656250,250.074,0,0,0.000000,4-15,14-19,no_counterexample_within_budgets
39,1,1,,No counterexample,1.125000,55.405,0,0,0.000000,9-18,10-15,no_counterexample_within_budgets
40,1,1,,No counterexample,6.937500,64.175,0,0,0.000000,12-14,14-22,no_counterexample_within_budgets
41,7,7,,No counterexample,4.703125,54.733,0,0,0.000000,10-13,12-24,no_counterexample_within_budgets
42,4,4,,No counterexample,5.000000,407.154,0,0,0.000000,3-3,14-15,no_counterexample_within_budgets
43,2,2,,No counterexample,6.375000,257.950,0,0,0.000000,12-17,7-13,no_counterexample_within_budgets
44,3,3,,No counterexample,8.359375,347.493,0,0,0.000000,11-17,8-10,no_counterexample_within_budgets
45,5,5,,No counterexample,12.250000,561.992,0,0,0.000000,12-12,15-21,no_counterexample_within_budgets
46,1,1,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,37.841,1,4,4.000000,11-13,10-14,witness_found_greedy_byte
47,2,2,,No counterexample,10.375000,412.053,0,0,0.000000,10-12,22-23,no_counterexample_within_budgets
48,4,4,,No counterexample,4.187500,62.883,0,0,0.000000,3-14,11-14,no_counterexample_within_budgets
49,4,4,,No counterexample,1.515625,43.876,0,0,0.000000,3-4,10-15,no_counterexample_within_budgets
50,6,6,,No counterexample,3.843750,126.877,0,0,0.000000,0-0,5-14,no_counterexample_within_budgets
51,3,3,,No counterexample,30.203125,350.307,0,0,0.000000,2-10,9-13,no_counterexample_within_budgets
52,5,5,,No counterexample,3.812500,71.538,0,0,0.000000,18-19,11-12,no_counterexample_within_budgets
53,5,5,,No counterexample,2.546875,140.395,0,0,0.000000,7-7,13-15,no_counterexample_within_budgets
54,6,6,2,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,38.761,1,4,4.000000,2-3,12-15,witness_found_greedy_byte
55,0,0,,No counterexample,31.125000,343.945,0,0,0.000000,0-4,7-21,no_counterexample_within_budgets
56,4,4,,No counterexample,15.000000,99.019,0,0,0.000000,9-15,14-15,no_counterexample_within_budgets
57,1,1,,No counterexample,2.625000,71.687,0,0,0.000000,13-13,5-6,no_counterexample_within_budgets
58,9,9,,No counterexample,5.015625,190.191,0,0,0.000000,10-11,14-24,no_counterexample_within_budgets
