idx,clean_pred,true_label,new_pred,outcome,best_upper_margin,elapsed_s,pixels_changed,total_bit_flips,avg_hamming_per_pixel,patch_rows,patch_cols,note
0,7,7,,No counterexample,-0.953125,0.868,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
1,2,2,,No counterexample,22.000000,368.810,0,0,0.000000,17-17,9-10,no_counterexample_within_budgets
2,1,1,,No counterexample,-2.031250,0.773,0,0,0.000000,13-14,14-14,no_counterexample_within_budgets
3,0,0,,No counterexample,-4.890625,1.037,0,0,0.000000,15-15,13-14,no_counterexample_within_budgets
4,4,4,,No counterexample,3.500000,180.550,0,0,0.000000,9-9,13-14,no_counterexample_within_budgets
5,1,1,,No counterexample,-1.250000,0.983,0,0,0.000000,12-13,22-22,no_counterexample_within_budgets
6,4,4,,No counterexample,41.500000,5.236,0,0,0.000000,3-3,14-15,no_counterexample_within_budgets
7,9,9,,No counterexample,-0.265625,0.987,0,0,0.000000,12-13,6-6,no_counterexample_within_budgets
8,6,5,,No counterexample,24.500000,152.500,0,0,0.000000,11-12,15-15,no_counterexample_within_budgets
9,9,9,,No counterexample,0.500000,3.799,0,0,0.000000,8-9,14-15,no_counterexample_within_budgets
10,0,0,,No counterexample,3.562500,226.256,0,0,0.000000,15-16,14-14,no_counterexample_within_budgets
11,6,6,2,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.558,1,4,4.000000,11-11,8-9,witness_found_greedy_byte
12,9,9,,No counterexample,-0.765625,0.981,0,0,0.000000,1-2,13-14,no_counterexample_within_budgets
13,0,0,,No counterexample,-2.531250,1.064,0,0,0.000000,7-8,24-24,no_counterexample_within_budgets
14,1,1,,No counterexample,-4.125000,1.058,0,0,0.000000,9-9,24-25,no_counterexample_within_budgets
15,5,5,3,Counterexample,0.593750,25.258,2,4,2.000000,22-22,4-5,witness_found_bab
16,9,9,,No counterexample,1.750000,30.866,0,0,0.000000,12-12,7-8,no_counterexample_within_budgets
17,7,7,,No counterexample,-0.609375,1.038,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
18,2,3,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.583,1,4,4.000000,19-20,11-11,witness_found_greedy_byte
19,4,4,,No counterexample,-2.750000,0.819,0,0,0.000000,11-12,20-21,no_counterexample_within_budgets
20,9,9,,No counterexample,-1.875000,1.064,0,0,0.000000,13-14,12-12,no_counterexample_within_budgets
21,6,6,,No counterexample,-3.750000,0.925,0,0,0.000000,8-9,24-24,no_counterexample_within_budgets
22,6,6,,No counterexample,-1.500000,1.051,0,0,0.000000,11-11,2-3,no_counterexample_within_budgets
23,5,5,,No counterexample,-0.750000,1.098,0,0,0.000000,18-18,11-12,no_counterexample_within_budgets
24,4,4,,No counterexample,33.125000,398.719,0,0,0.000000,5-5,13-14,no_counterexample_within_budgets
25,0,0,,No counterexample,3.750000,4.058,0,0,0.000000,13-13,13-14,no_counterexample_within_budgets
26,7,7,,No counterexample,0.625000,8.145,0,0,0.000000,12-12,12-13,no_counterexample_within_budgets
27,4,4,,No counterexample,-1.750000,1.057,0,0,0.000000,6-7,15-16,no_counterexample_within_budgets
